市场,板块,代码,名称,行业
上证主板,主板,600000,浦发银行,银行Ⅱ
上证主板,主板,600004,白云机场,航空机场
上证主板,主板,600006,东风股份,商用车
上证主板,主板,600007,中国国贸,房地产开发
上证主板,主板,600008,首创环保,环境治理
上证主板,主板,600009,上海机场,航空机场
上证主板,主板,600010,包钢股份,普钢
上证主板,主板,600011,华能国际,电力
上证主板,主板,600012,皖通高速,铁路公路
上证主板,主板,600015,华夏银行,银行Ⅱ
上证主板,主板,600016,民生银行,银行Ⅱ
上证主板,主板,600017,日照港,航运港口
上证主板,主板,600018,上港集团,航运港口
上证主板,主板,600019,宝钢股份,普钢
上证主板,主板,600020,中原高速,铁路公路
上证主板,主板,600021,上海电力,电力
上证主板,主板,600022,山东钢铁,普钢
上证主板,主板,600023,浙能电力,电力
上证主板,主板,600025,华能水电,电力
上证主板,主板,600026,中远海能,航运港口
上证主板,主板,600027,华电国际,电力
上证主板,主板,600028,中国石化,炼化及贸易
上证主板,主板,600029,南方航空,航空机场
上证主板,主板,600030,中信证券,证券Ⅱ
上证主板,主板,600031,三一重工,工程机械
上证主板,主板,600032,浙江新能,电力
上证主板,主板,600033,福建高速,铁路公路
上证主板,主板,600035,楚天高速,铁路公路
上证主板,主板,600036,招商银行,银行Ⅱ
上证主板,主板,600037,歌华有线,电视广播Ⅱ
上证主板,主板,600038,中直股份,航空装备Ⅱ
上证主板,主板,600039,四川路桥,基础建设
上证主板,主板,600048,保利发展,房地产开发
上证主板,主板,600050,中国联通,通信服务
上证主板,主板,600051,宁波联合,综合Ⅱ
上证主板,主板,600052,东望时代,电力
上证主板,主板,600053,九鼎投资,多元金融
上证主板,主板,600054,黄山旅游,旅游及景区
上证主板,主板,600055,万东医疗,医疗器械
上证主板,主板,600056,中国医药,医药商业
上证主板,主板,600057,厦门象屿,物流
上证主板,主板,600058,五矿发展,贸易Ⅱ
上证主板,主板,600059,古越龙山,非白酒
上证主板,主板,600060,海信视像,黑色家电
上证主板,主板,600061,国投资本,多元金融
上证主板,主板,600062,华润双鹤,化学制药
上证主板,主板,600063,皖维高新,化学纤维
上证主板,主板,600064,南京高科,房地产开发
上证主板,主板,600066,宇通客车,商用车
上证主板,主板,600067,冠城新材,电网设备
上证主板,主板,600071,凤凰光学,光学光电子
上证主板,主板,600072,中船科技,风电设备
上证主板,主板,600073,光明肉业,食品加工
上证主板,主板,600075,新疆天业,化学原料
上证主板,主板,600076,康欣新材,包装印刷
上证主板,主板,600078,澄星股份,农化制品
上证主板,主板,600079,ST人福,化学制药
上证主板,主板,600080,金花股份,中药Ⅱ
上证主板,主板,600081,东风科技,汽车零部件
上证主板,主板,600082,海泰发展,房地产开发
上证主板,主板,600084,中信尼雅,非白酒
上证主板,主板,600085,同仁堂,中药Ⅱ
上证主板,主板,600088,中视传媒,影视院线
上证主板,主板,600089,特变电工,电网设备
上证主板,主板,600094,大名城,房地产开发
上证主板,主板,600095,湘财股份,证券Ⅱ
上证主板,主板,600096,云天化,农化制品
上证主板,主板,600097,开创国际,渔业
上证主板,主板,600098,广州发展,电力
上证主板,主板,600099,林海股份,摩托车及其他
上证主板,主板,600100,同方股份,计算机设备
上证主板,主板,600101,明星电力,电力
上证主板,主板,600103,青山纸业,造纸
上证主板,主板,600104,上汽集团,乘用车
上证主板,主板,600105,永鼎股份,通信设备
上证主板,主板,600106,重庆路桥,铁路公路
上证主板,主板,600107,ST尔雅,服装家纺
上证主板,主板,600108,亚盛集团,种植业
上证主板,主板,600109,国金证券,证券Ⅱ
上证主板,主板,600110,诺德股份,电池
上证主板,主板,600111,北方稀土,小金属
上证主板,主板,600113,浙江东日,一般零售
上证主板,主板,600114,东睦股份,通用设备
上证主板,主板,600115,中国东航,航空机场
上证主板,主板,600116,三峡水利,电力
上证主板,主板,600117,西宁特钢,特钢Ⅱ
上证主板,主板,600118,中国卫星,航天装备Ⅱ
上证主板,主板,600119,长江投资,物流
上证主板,主板,600120,浙江东方,多元金融
上证主板,主板,600121,郑州煤电,煤炭开采
上证主板,主板,600123,兰花科创,煤炭开采
上证主板,主板,600125,铁龙物流,铁路公路
上证主板,主板,600126,杭钢股份,普钢
上证主板,主板,600127,金健米业,农产品加工
上证主板,主板,600128,苏豪弘业,贸易Ⅱ
上证主板,主板,600129,太极集团,中药Ⅱ
上证主板,主板,600130,*ST波导,消费电子
上证主板,主板,600131,国网信通,IT服务Ⅱ
上证主板,主板,600132,重庆啤酒,非白酒
上证主板,主板,600133,东湖高新,环境治理
上证主板,主板,600135,乐凯胶片,塑料
上证主板,主板,600136,ST明诚,房地产服务
上证主板,主板,600137,浪莎股份,服装家纺
上证主板,主板,600138,中青旅,旅游及景区
上证主板,主板,600141,兴发集团,农化制品
上证主板,主板,600143,金发科技,塑料
上证主板,主板,600148,长春一东,汽车零部件
上证主板,主板,600149,廊坊发展,电力
上证主板,主板,600150,中国船舶,航海装备Ⅱ
上证主板,主板,600151,航天机电,光伏设备
上证主板,主板,600152,维科技术,电池
上证主板,主板,600153,建发股份,物流
上证主板,主板,600155,华创云信,证券Ⅱ
上证主板,主板,600156,华升股份,纺织制造
上证主板,主板,600157,永泰能源,电力
上证主板,主板,600158,中体产业,体育Ⅱ
上证主板,主板,600159,大龙地产,房地产开发
上证主板,主板,600160,巨化股份,化学制品
上证主板,主板,600161,天坛生物,生物制品
上证主板,主板,600162,香江控股,房地产开发
